country,sattype,satpurpose,satid
USA,Commercial,Communications,32763
Ecuador,Civil,Technology Development,44388
ESA,Commercial,Communications,44475
Egypt,Government,Earth Observation,44047
Russia,Military,Earth Observation,41032
Russia,Military,Earth Observation,42719
Russia,Military,Earth Observation,44552
Russia,Military,Earth Observation,45608
Russia,Military,Earth Observation,49503
USA,Commercial,Technology Development,44408
Russia,Government,Earth Observation,37344
Russia,Government,Earth Observation,41105
Russia,Government,Earth Observation,44903
Russia,Government,Earth Observation,55506
USA,Commercial/Civil,Space Science,43616
France,Military,Earth Observation,38010
France,Military,Earth Observation,38008
France,Military,Earth Observation,38007
France,Military,Earth Observation,38009
France,Commercial,Technology Demonstration,56216
Singapore,Commercial,Technology Development,47944
India,Military,Earth Observation,44078
Germany,Government,Earth Observation,52159
USA,Commercial,Earth Observation,55053
India,Military,Earth Observation,46905
India,Government,Earth Observation,51656
India,Government,Technology Demonstration,55562
USA/Canada/Japan,Government,Earth Observation,25994
USA,Government,Earth Observation,28376
USA/Japan/Brazil,Government,Earth Observation,27424
Russia,Military,Technology Development,47230
Japan,Government,Space Science,41896
Israel,Military/Commercial,Earth Observation,29079
Multinational,Commercial,Communications,39233
France,Military/Commercial,Communications,43700
ESA,Government,Earth Observation,46273
ESA,Civil,Earth Observation/Earth Science,43792
USA,Military,Technology Development,43446
Ethiopia,Government,Earth Observation,47300
Ethiopia,Government,Earth Observation,44880
Germany,Government,Technology Development,43807
Multinational,Commercial,Communications,34710
Multinational,Commercial,Communications,29162
Multinational,Commercial,Communications,40425
Multinational,Commercial,Communications,39122
Multinational,Commercial,Communications,41589
Multinational,Commercial,Communications,26719
Multinational,Commercial,Communications,28187
Multinational,Commercial,Communications,37836
Multinational,Commercial,Communications,42741
Multinational,Commercial,Communications,28924
Multinational,Commercial,Communications,38992
Multinational,Commercial,Communications,33750
Multinational,Commercial,Communications,26369
Multinational,Commercial,Communications,36101
Multinational,Commercial,Communications,39773
Multinational,Commercial,Communications,27460
Multinational,Commercial,Communications,44624
Multinational,Commercial,Communications,41382
Multinational,Commercial,Communications,37816
Multinational,Commercial,Communications,39020
Multinational,Commercial,Communications,39163
Multinational,Commercial,Communications,44334
Multinational,Commercial,Communications,40875
Multinational,Commercial,Communications,41310
Multinational,Commercial,Communications,29270
Multinational,Commercial,Communications,33459
Multinational,Commercial,Communications,28945
Multinational,Commercial,Communications,54048
Multinational,Commercial,Communications,54225
Multinational,Commercial,Communications,37258
Multinational,Commercial,Communications,45027
Multinational,Commercial,Communications,53765
Multinational,Commercial,Communications,49056
Canada,Commercial,Communications,37793
Canada,Commercial,Communications,40936
USA,Military,Technology Development,43819
USA,Government/Civil,Space Science,47319
Russia,Commercial,Communications,45986
Russia,Commercial,Communications,45985
Russia,Commercial,Communications,28707
Russia,Commercial,Communications,32478
Russia,Commercial,Communications,33595
Russia,Commercial,Communications,39487
Russia,Commercial,Communications,40277
Russia,Commercial,Communications,40505
Russia,Commercial,Communications,40895
Russia,Commercial,Communications,41191
Russia,Commercial,Communications,50001
Russia,Commercial,Communications,50002
Russia,Commercial,Communications,39612
Russia,Commercial,Communications,39613
India,Commercial,Communications,43775
ESA,Government,Space Science,44877
Colombia,Military,Earth Observation,43721
Colombia,Military,Earth Observation,56205
